,bookId,title,author,description,genres,characters,places,language,publish_date,avg_rating
380,380,Siddhartha,Hermann Hesse,"Siddhartha 1922 by Hermann Hesse is a deceptively simple, intense, and lyrical allegorical tale of a man in ancient India striving for enlightenment at the time of Buddha. Siddhartha is a man whose life journey runs in parallel and who may or may not be another version of Buddha himself.,Spiritual enlightenment may not be taught, only experienced, and each individual must,Siddhartha 1922 by Hermann Hesse is a deceptively simple, intense, and lyrical allegorical tale of a man in ancient India striving for enlightenment at the time of Buddha. Siddhartha is a man whose life journey runs in parallel and who may or may not be another version of Buddha himself.,Spiritual enlightenment may not be taught, only experienced, and each individual must tread their own personal path toward truth, in this unforgettable novel by the author who won the 1946 Nobel Prize in Literature.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Philosophy,Spirituality,Religion,Literature,Religion,Buddhism,European Literature,German Literature,Novels,Historical,Historical Fiction","Siddhartha,Govinda,Gotama,Kamala,Vasudeva",India,English,June 1st 2004,4.04
381,381,Der Vorleser,Bernhard Schlink,anniversary issue,"Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Historical,Historical Fiction,European Literature,German Literature,Classics,World War II,Holocaust,Romance,Historical,Cultural,Germany,War,War,World War II","Michael Berg,Hanna Schmitz",Germany,German,June 1st 2002,3.76
382,382,Der Schatten des Windes,Carlos Ruiz Zafón,"Daniel Semperes Leben im grauen Barcelona der Nachkriegszeit erfährt eine drastische Wende, als er die Schicksalsbahn eines geheimnisvollen Buches kreuzt. Er gerät in ein Labyrinth abenteuerlich verknüpfter Lebensläufe, und es ist, als wiederhole sich vergangene Geschichte in seinem eigenen Leben. Die Menschen, denen er bei seiner Suche nach dem verschollenen Autor begegne,Daniel Semperes Leben im grauen Barcelona der Nachkriegszeit erfährt eine drastische Wende, als er die Schicksalsbahn eines geheimnisvollen Buches kreuzt. Er gerät in ein Labyrinth abenteuerlich verknüpfter Lebensläufe, und es ist, als wiederhole sich vergangene Geschichte in seinem eigenen Leben. Die Menschen, denen er bei seiner Suche nach dem verschollenen Autor begegnet, die Frauen, in die er sich verliebt - sie alle scheinen Figuren in einem großen Spiel, dessen Fäden erst ganz am Schluß sichtbar werden.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Historical,Historical Fiction,Mystery,Fantasy,Writing,Books About Books,Historical,Cultural,Spain,European Literature,Spanish Literature,Magical Realism,Gothic","Daniel Sempere,Fermín Romero de Torres,Julián Carax,Miquel Moliner,Nuria Monfort,Francisco Javier Fumero,Beatriz Aguilar,Jorge Aldaya,Penélope Aldaya,Antoni Fortuny,Clara Barceló,Jacinta Coronado,Gustavo Barceló,Bernarda,Fernando Ramos,Sophie Carax,Tomas Aguilar,Ricardo Aldaya","Spain,Barcelona, Catalonia",German,July 1st 2003,4.27
383,383,Digital Fortress,Dan Brown,"Before the phenomenal runaway bestseller,, Dan Brown set his razor-sharp research and storytelling skills on the most powerful intelligence organization on earth--the National Security Agency NSA, an ultra-secret, multibillion-dollar agency many times more powerful than the CIA.,When the NSA's invincible code-breaking machine encounters a mysterious code,Before the phenomenal runaway bestseller,, Dan Brown set his razor-sharp research and storytelling skills on the most powerful intelligence organization on earth--the National Security Agency NSA, an ultra-secret, multibillion-dollar agency many times more powerful than the CIA.,When the NSA's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage...not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.,Caught in an accelerating tempest of secrecy and lies, Susan Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves.,From the underground hallways of power to the skyscrapers of Tokyo to the towering cathedrals of Spain, a desperate race unfolds. It is a battle for survival--a crucial bid to destroy a creation of inconceivable genius...an impregnable code-writing formula that threatens to obliterate the post-cold war balance of power. Forever.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Thriller,Mystery,Suspense,Mystery,Crime,Thriller,Mystery Thriller,Novels,Science Fiction,Adventure,Drama","Susan Fletcher,David Becker,Ensei Tankado,Trevor Strathmore,Phil Chartrukian,Greg Hale","Fort Meade, Maryland,Maryland",English,2005,3.67
384,384,La conspiración,"Dan Brown,Alejandro Palomas","En los hielos eternos del Ártico duerme el más fascinante descubrimiento de la historia de la humanidad... y también un intrigante juego de mentiras y engaños. Descubrir la verdad puede exigir un precio demasiado alto.,La analista de inteligencia Rachel Sexton y el oceanógrafo Michael Tolland forman parte del equipo de expertos enviados por la Casa Blanca a un remoto lugar,En los hielos eternos del Ártico duerme el más fascinante descubrimiento de la historia de la humanidad... y también un intrigante juego de mentiras y engaños. Descubrir la verdad puede exigir un precio demasiado alto.,La analista de inteligencia Rachel Sexton y el oceanógrafo Michael Tolland forman parte del equipo de expertos enviados por la Casa Blanca a un remoto lugar del Ártico, con la misión de autentificar el fabuloso hallazgo que ha realizado la NASA.,Un descubrimiento que cambiará el curso de la historia y, de paso, asegurará al presidente su reelección. Sin embargo, una vez allí descubren indicios de que se enfrentan a un fraude científico de proporciones gigantescas.,Aislados en el entorno más hostil del planeta, perseguidos por unos implacables asesinos equipados con los últimos adelantos tecnológicos, lucharán por salvar la vida y averiguar la verdad. Mientras tanto, en los pasillos de Washington se libra otra oscura batalla, un juego de traiciones y mentiras donde nadie es lo que parece.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Thriller,Mystery,Suspense,Thriller,Mystery Thriller,Mystery,Crime,Adventure,Novels,Science Fiction,Action","Rachel Sexton,Michael Tolland,Thomas Sedgewick Sexton,Corky Marlinson,Zachary Herney,William Pickering,Gabrielle Ashe,Marjorie Tench,Lawrence Ekstrom","Arctic Circle,Washington, D.C.,Milne Ice Shelf",Spanish,May 30th 2005,3.72
385,385,Illuminati,"Dan Brown,Axel Merz","Eigentlich könnte Robert Langdon ein langweiliges Leben führen. Denn der Harvardprofessor ist Symbologe mit einem Faible für christliche Zeichenkunst -- da sollte man eigentlich nicht in tödliche Intrigen verstrickt werden. Allerdings ist Langdon vor allem der Held des Bestsellerautors Dan Brown, und der hat sich auf die undurchdringlichen Machenschaften der Kirche im Umfe,Eigentlich könnte Robert Langdon ein langweiliges Leben führen. Denn der Harvardprofessor ist Symbologe mit einem Faible für christliche Zeichenkunst -- da sollte man eigentlich nicht in tödliche Intrigen verstrickt werden. Allerdings ist Langdon vor allem der Held des Bestsellerautors Dan Brown, und der hat sich auf die undurchdringlichen Machenschaften der Kirche im Umfeld des Vatikans und auf eine ganz besondere Deutung christlicher Kunst im Sinne komplexer Verschwörungstheorien spezialisiert. In,wird Langdon in eine hoch explosive Geschichte verwickelt, die eng mit dem als ausgestorben geltenden Wissenschafts-Geheimbund der Illuminati aus der Zeit der Renaissance verknüpft zu sein scheint.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Mystery,Thriller,Suspense,Thriller,Mystery Thriller,Adventure,Mystery,Crime,Historical,Historical Fiction,Novels,Adult","Vittoria Vetra,Robert Langdon,Leonardo Vetra,Gunther Glick,Maximilian Kohler,Camerlengo Carlo Ventresca","Rome,Vatican City,Italy",German,December 31st 2004,3.91
386,386,Sakrileg,Dan Brown,"หลังการบรรยายในกรุงปารีส โรเบิร์ต แลงดอน ศาสตราจารย์ชื่อดังด้านศาสตร์สัญลักษณ์แห่งมหาวิทยาลัยฮาร์วาร์ด ถูกตามตัวกลางดึกขณะนอนพักอยู่ในโรงแรม เมื่อ ฌาคส์ โซนิแยร์ ภัณฑารักษ์ผู้มีชื่อเสียงประจำพิพิธภัณฑ์สถานลูฟร์ ถูกฆาตกรรมพิศวงในพิพิธภัณฑ์ โดยทิ้งรหัสลับปริศนาไว้ให้แลงดอน กับ โซฟี เนอเวอ หลานสาวของตนเป็นผู้ไขเพื่อหาตัวฆาตกร รหัสลับที่โซนิแยร์ทิ้งไว้อย่างชาญฉลาดกับศพของตน เก,หลังการบรรยายในกรุงปารีส โรเบิร์ต แลงดอน ศาสตราจารย์ชื่อดังด้านศาสตร์สัญลักษณ์แห่งมหาวิทยาลัยฮาร์วาร์ด ถูกตามตัวกลางดึกขณะนอนพักอยู่ในโรงแรม เมื่อ ฌาคส์ โซนิแยร์ ภัณฑารักษ์ผู้มีชื่อเสียงประจำพิพิธภัณฑ์สถานลูฟร์ ถูกฆาตกรรมพิศวงในพิพิธภัณฑ์ โดยทิ้งรหัสลับปริศนาไว้ให้แลงดอน กับ โซฟี เนอเวอ หลานสาวของตนเป็นผู้ไขเพื่อหาตัวฆาตกร รหัสลับที่โซนิแยร์ทิ้งไว้อย่างชาญฉลาดกับศพของตน เกี่ยวข้องกับผลงานศิลปะของ \เลโอนาร์โด ดาวินชี\ ศิลปินเลื่องชื่อแห่งยุคเรอเนสซองซ์ และนำไปสู่รหัสลับอื่นๆ ตามมาเป็นลำดับ รวมทั้งภาพโมนาลิซา รหัสลับที่ปรากฏอยู่ต่อหน้าต่อตา แต่ไม่มีผู้ใดล่วงรู้!","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Mystery,Thriller,Suspense,Thriller,Mystery Thriller,Historical,Historical Fiction,Adventure,Novels,Mystery,Crime,Adult","Sophie Neveu,Robert Langdon,Sir Leigh Teabing,Silas The Da Vinci Code,Bezu Fache,Jerome Collet,Manuel Aringarosa,Rémy Legaludec,André Vernet","Paris,London, England,France,England,United Kingdom",German,2006,3.87
387,387,El código Da Vinci,"Dan Brown,Juanjo Estrella","Antes de morir asesinado, Jacques Saunière, el último Gran Maestre de una sociedad secreta que se remonta más allá del origen de los Templarios —la orden militar compuesta por monjes-soldados fundada en Jerusalén en el año 1119—, transmite a su nieta Sofía un misterioso mensaje en clave.,Saunière al igual que todos los miembros de la sociedad secreta Priorato de Sión entr,Antes de morir asesinado, Jacques Saunière, el último Gran Maestre de una sociedad secreta que se remonta más allá del origen de los Templarios —la orden militar compuesta por monjes-soldados fundada en Jerusalén en el año 1119—, transmite a su nieta Sofía un misterioso mensaje en clave.,Saunière al igual que todos los miembros de la sociedad secreta Priorato de Sión entre los que podemos encontrar ilustres nombres de nuestra historia como Isaac Newton o Leonardo Da Vinci, han custodiado durante siglos un secreto de gran envergadura, relacionado directamente con el Santo Grial, capaz de cambiar completamente la historia de la humanidad.,Ahora Sofía, con la ayuda del experto en simbología Robert Langdon, comienza la búsqueda de ese oculto misterio, una trepidante carrera que les lleva de una clave a otra, descifrando mensajes ocultos en los más famosos cuadros del genial pintor Leonardo Da Vinci y en las paredes, bóvedas, esculturas y claustros de antiguas catedrales de Francia, Inglaterra y Escocia.,Paralelamente, una poderosa e influyente organización católica, el Opus Dei, está dispuesta a emplear todos los medios para evitar que el verdadero secreto del Santo Grial salga a la luz. Su objetivo se centrará en enterrar para siempre la verdadera historia sobre la vida de Cristo y María Magdalena. De lo contrario, la base en la que se fundamenta la Iglesia Católica, podría verse seriamente comprometida.,Un rompecabezas que tanto Sofía como Robert Langdon irán resolviendo, conscientes que no están solos en este peligroso juego donde incluso sus vidas corren un constante peligro.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Mystery,Thriller,Suspense,Thriller,Mystery Thriller,Historical,Historical Fiction,Adventure,Novels,Mystery,Crime,Adult","Sophie Neveu,Robert Langdon,Sir Leigh Teabing,Silas The Da Vinci Code,Bezu Fache,Jerome Collet,Manuel Aringarosa,Rémy Legaludec,André Vernet","Paris,London, England,France,England,United Kingdom",Spanish,October 17th 2003,3.87
388,388,Harry Potter and the Philosopher's Stone,J.K. Rowling,"When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Escaping from his unbearable Muggle guardians to Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles into a sinister adventure w,When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Escaping from his unbearable Muggle guardians to Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles into a sinister adventure when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers which could be valuable, dangerous, or both.,front flap","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Goodreads' Transgender Books page,Goodreads' Transgender Books page,Fantasy,Fiction,Young Adult,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Classics,Audiobook,Science Fiction Fantasy","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown","London, England,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry",English,October 4th 2004,4.48
389,389,High Fidelity,Nick Hornby,"Now a major motion picture from Touchstone Pictures.,Rob is a pop music junkie who runs his own semi-failing record store. His girlfriend, Laura, has just left him for the guy upstairs, and Rob is both miserable and relieved. After all, could he have spent his life with someone who has a bad record collection? Rob seeks refuge in the company of the offbeat clerks at his sto,Now a major motion picture from Touchstone Pictures.,Rob is a pop music junkie who runs his own semi-failing record store. His girlfriend, Laura, has just left him for the guy upstairs, and Rob is both miserable and relieved. After all, could he have spent his life with someone who has a bad record collection? Rob seeks refuge in the company of the offbeat clerks at his store, who endlessly review their top five films ,...; top five Elvis Costello songs \Alison\...; top five episodes of,the one where Woody sang his stupid song to Kelly.... Rob tries dating a singer whose rendition of \Baby, I Love Your Way\ makes him cry. But maybe it's just that he's always wanted to sleep with someone who has a record contract. Then he sees Laura again. And Rob begins to think awful as it sounds that life as an episode of,, with all the kids and marriages and barbecues and k.d. lang CD's that this implies, might not be so bad.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Music,Contemporary,Humor,Romance,Novels,European Literature,British Literature,Literature,Humor,Comedy,Adult Fiction",Rob Gordon,"London, England",English,October 4th 2005,3.93
390,390,Fever Pitch,Nick Hornby,"In America, it is soccer. But in Great Britain, it is the real football. No pads, no prayers, no prisoners. And that's before the players even take the field.,Nick Hornby has been a football fan since the moment he was conceived. Call it predestiny. Or call it preschool.,is his tribute to a lifelong obsession. Part autobiography, part comedy, part incisive analy,In America, it is soccer. But in Great Britain, it is the real football. No pads, no prayers, no prisoners. And that's before the players even take the field.,Nick Hornby has been a football fan since the moment he was conceived. Call it predestiny. Or call it preschool.,is his tribute to a lifelong obsession. Part autobiography, part comedy, part incisive analysis of insanity, Hornby's award-winning memoir captures the fever pitch of fandom — its agony and ecstasy, its community, its defining role in thousands of young mens' coming-of-age stories.,is one for the home team. But above all, it is one for everyone who knows what it really means to have a losing season.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Sports,Sports,Football,Soccer,Contemporary,Humor,European Literature,British Literature,Novels,Biography Memoir,Humor,Comedy",Nick Hornby,"London, England,England",English,March 1st 1998,3.75
391,391,Fever Pitch: Ballfieber - Die Geschichte eines Fans,"Nick Hornby,Marcus Geiss,Henning Stegelmann","In America, it is soccer. But in Great Britain, it is the real football. No pads, no prayers, no prisoners. And that's before the players even take the field.,Nick Hornby has been a football fan since the moment he was conceived. Call it predestiny. Or call it preschool.,is his tribute to a lifelong obsession. Part autobiography, part comedy, part incisive analy,In America, it is soccer. But in Great Britain, it is the real football. No pads, no prayers, no prisoners. And that's before the players even take the field.,Nick Hornby has been a football fan since the moment he was conceived. Call it predestiny. Or call it preschool.,is his tribute to a lifelong obsession. Part autobiography, part comedy, part incisive analysis of insanity, Hornby's award-winning memoir captures the fever pitch of fandom — its agony and ecstasy, its community, its defining role in thousands of young mens' coming-of-age stories.,is one for the home team. But above all, it is one for everyone who knows what it really means to have a losing season.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Sports,Sports,Football,Soccer,Contemporary,Humor,European Literature,British Literature,Novels,Biography Memoir,Humor,Comedy",Nick Hornby,"London, England,England",German,1997,3.75
392,392,Ash Wednesday,Ethan Hawke,Second novel by author and writer Ethan Hawke - an acclaimed modern love story,"Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fiction,Contemporary,Novels,American,Americana,Literature,American,Adult Fiction,The United States Of America,Realistic Fiction,Adult,Romance","James Heartstock,Christy Ann Walker",United States of America,English,June 2nd 2003,3.31
393,393,Zaat,"Sonallah Ibrahim,صنع الله إبراهيم,Anthony Calderbank","This unusual and much lauded novel tells the story of the life of an Egyptian woman the eponymous Zaat during the regimes of three Egyptian presidents: Abdel Nasser, Sadat, and Mubarak. Imbued with an Egyptian sense of humor and deeply rooted in the culture and politics of the modern period, the novel takes a humorous but often black look at the changes that have occurred,This unusual and much lauded novel tells the story of the life of an Egyptian woman the eponymous Zaat during the regimes of three Egyptian presidents: Abdel Nasser, Sadat, and Mubarak. Imbued with an Egyptian sense of humor and deeply rooted in the culture and politics of the modern period, the novel takes a humorous but often black look at the changes that have occurred in Egypt over the past few decades. Zaat's life experiences and relationships are set against economic and social upheavals in a style that is both sophisticated and bawdy, highly ironic and often extremely poignant. Zaat's story is interspersed and illustrated with extracts from newspapers of the day headlines, articles, captions, death notices, advertisements reflecting events and incidents contemporary with her life. Beautifully put together with bitter and cutting irony, they tell of corruption, financial scandals, torture, foreign debt, and social problems. The heroine epitomizes the hopes, dreams, and ambitions of simple folk tossed about on the stormy sea of modernization, consumerism, and the ever-present mirage of new wealth. Zaat is a brilliant social commentary that provides keen insights into how Egypt has come to be the way it is today.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Novels,Fiction,Northern Africa,Egypt,Literature,Social,Politics,Cultural,Africa,Media Tie In,Academic,Read For School,Unfinished","ذات,عبد المجيد",Egypt,Arabic,March 15th 2004,3.56
394,394,Dreamland,Sarah Dessen,"Ever since she started going out with Rogerson Biscoe, Caitlin seems to have fallen into a semiconscious dreamland where nothing is quite real. Rogerson is different from anyone Caitlin has ever known. He's magnetic. He's compelling. He's dangerous. Being with him makes Caitlin forget about everything,Ever since she started going out with Rogerson Biscoe, Caitlin seems to have fallen into a semiconscious dreamland where nothing is quite real. Rogerson is different from anyone Caitlin has ever known. He's magnetic. He's compelling. He's dangerous. Being with him makes Caitlin forget about everything else--her missing sister, her withdrawn mother, her lackluster life. But what happens when being with Rogerson becomes a larger problem than being without him?","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,Womens Fiction,Chick Lit,Sociology,Abuse,Young Adult,Teen,Young Adult,Young Adult Contemporary,Young Adult,High School","Caitlin O'Koren,Rogerson Biscoe,Boo Connel","Lakeview, North Carolina",English,May 11th 2004,3.9
